Call Date,Custom Grouping,counts
04/20/2016,Various Other,16
04/20/2017,Aid Other Agency,13
04/20/2017,Chemical / Electrical,5
04/20/2017,Fire,189
04/20/2017,Medical,623
04/20/2017,Misc Emergency,56
04/20/2017,Rescue,5
04/20/2017,Various Other,23
04/20/2018,Aid Other Agency,13
04/20/2018,Chemical / Electrical,18
04/20/2018,Fire,138
04/20/2018,Medical,699
04/20/2018,Misc Emergency,47
04/20/2018,Rescue,3
04/20/2018,Various Other,17
04/20/2019,Aid Other Agency,12
04/20/2019,Chemical / Electrical,17
04/20/2019,Fire,183
04/20/2019,Medical,631
04/20/2019,Misc Emergency,54
04/20/2019,Rescue,21
04/20/2019,Various Other,18
04/21/2010,Aid Other Agency,7
04/21/2010,Chemical / Electrical,6
04/21/2010,Fire,130
04/21/2010,Medical,420
04/21/2010,Misc Emergency,28
04/21/2010,Various Other,15
04/21/2011,Aid Other Agency,9
04/21/2011,Chemical / Electrical,6
04/21/2011,Fire,158
04/21/2011,Medical,517
04/21/2011,Misc Emergency,31
04/21/2011,Rescue,1
04/21/2011,Various Other,8
04/21/2012,Aid Other Agency,14
04/21/2012,Chemical / Electrical,19
04/21/2012,Fire,196
04/21/2012,Medical,558
04/21/2012,Misc Emergency,60
04/21/2012,Rescue,9
04/21/2012,Various Other,9
04/21/2013,Aid Other Agency,12
04/21/2013,Chemical / Electrical,13
04/21/2013,Fire,195
04/21/2013,Medical,412
04/21/2013,Misc Emergency,53
04/21/2013,Rescue,13
04/21/2013,Various Other,10
04/21/2014,Aid Other Agency,15
04/21/2014,Chemical / Electrical,4
04/21/2014,Fire,162
04/21/2014,Medical,544
04/21/2014,Misc Emergency,19
04/21/2014,Rescue,26
04/21/2014,Various Other,8
04/21/2015,Aid Other Agency,6
04/21/2015,Chemical / Electrical,8
04/21/2015,Fire,124
04/21/2015,Medical,509
04/21/2015,Misc Emergency,31
04/21/2015,Rescue,6
04/21/2015,Various Other,11
04/21/2016,Aid Other Agency,13
04/21/2016,Chemical / Electrical,6
04/21/2016,Fire,181
04/21/2016,Medical,581
04/21/2016,Misc Emergency,14
04/21/2016,Rescue,1
04/21/2016,Various Other,16
04/21/2017,Aid Other Agency,13
04/21/2017,Chemical / Electrical,10
04/21/2017,Fire,216
04/21/2017,Medical,584
04/21/2017,Misc Emergency,25
04/21/2017,Rescue,64
04/21/2017,Various Other,21
04/21/2018,Aid Other Agency,13
04/21/2018,Chemical / Electrical,16
04/21/2018,Fire,290
04/21/2018,Medical,640
04/21/2018,Misc Emergency,58
04/21/2018,Rescue,13
04/21/2018,Various Other,9
04/21/2019,Aid Other Agency,10
04/21/2019,Chemical / Electrical,7
04/21/2019,Fire,191
04/21/2019,Medical,556
04/21/2019,Misc Emergency,16
04/21/2019,Rescue,4
04/21/2019,Various Other,6
04/22/2010,Aid Other Agency,11
04/22/2010,Chemical / Electrical,4
04/22/2010,Fire,195
04/22/2010,Medical,423
04/22/2010,Misc Emergency,19
04/22/2010,Various Other,12
04/22/2011,Aid Other Agency,8
04/22/2011,Chemical / Electrical,18
04/22/2011,Fire,183
04/22/2011,Medical,514
04/22/2011,Misc Emergency,28
04/22/2011,Rescue,15
04/22/2011,Various Other,3
04/22/2012,Aid Other Agency,12
04/22/2012,Chemical / Electrical,7
04/22/2012,Fire,221
04/22/2012,Medical,427
04/22/2012,Misc Emergency,40
04/22/2012,Rescue,3
04/22/2012,Various Other,9
04/22/2013,Aid Other Agency,9
04/22/2013,Chemical / Electrical,7
04/22/2013,Fire,228
04/22/2013,Medical,607
04/22/2013,Misc Emergency,58
04/22/2013,Rescue,3
04/22/2013,Various Other,16
04/22/2014,Aid Other Agency,10
04/22/2014,Chemical / Electrical,19
04/22/2014,Fire,182
04/22/2014,Medical,444
04/22/2014,Misc Emergency,25
04/22/2014,Rescue,7
04/22/2014,Various Other,10
04/22/2015,Aid Other Agency,6
04/22/2015,Chemical / Electrical,3
04/22/2015,Fire,87
04/22/2015,Medical,574
04/22/2015,Misc Emergency,44
04/22/2015,Rescue,5
04/22/2015,Various Other,13
04/22/2016,Aid Other Agency,9
04/22/2016,Chemical / Electrical,6
04/22/2016,Fire,193
04/22/2016,Medical,540
04/22/2016,Misc Emergency,52
04/22/2016,Rescue,7
04/22/2016,Various Other,10
04/22/2017,Aid Other Agency,7
04/22/2017,Chemical / Electrical,18
04/22/2017,Fire,175
04/22/2017,Medical,564
04/22/2017,Misc Emergency,26
04/22/2017,Rescue,15
04/22/2017,Various Other,15
04/22/2018,Aid Other Agency,14
04/22/2018,Chemical / Electrical,5
04/22/2018,Fire,168
04/22/2018,Medical,668
04/22/2018,Misc Emergency,25
04/22/2018,Rescue,30
04/22/2018,Various Other,10
04/22/2019,Aid Other Agency,8
04/22/2019,Chemical / Electrical,12
04/22/2019,Fire,217
04/22/2019,Medical,595
04/22/2019,Misc Emergency,56
04/22/2019,Rescue,10
04/22/2019,Various Other,11
04/23/2010,Aid Other Agency,9
04/23/2010,Chemical / Electrical,9
04/23/2010,Fire,183
04/23/2010,Medical,443
04/23/2010,Misc Emergency,27
04/23/2010,Various Other,6
04/23/2011,Aid Other Agency,13
04/23/2011,Chemical / Electrical,10
04/23/2011,Fire,166
04/23/2011,Medical,455
04/23/2011,Misc Emergency,26
04/23/2011,Rescue,6
04/23/2011,Various Other,15
04/23/2012,Aid Other Agency,5
04/23/2012,Chemical / Electrical,14
04/23/2012,Fire,168
04/23/2012,Medical,450
04/23/2012,Misc Emergency,14
04/23/2012,Various Other,11
04/23/2013,Aid Other Agency,10
04/23/2013,Chemical / Electrical,24
04/23/2013,Fire,166
04/23/2013,Medical,486
04/23/2013,Misc Emergency,39
04/23/2013,Rescue,31
04/23/2013,Various Other,11
04/23/2014,Aid Other Agency,5
04/23/2014,Chemical / Electrical,21
04/23/2014,Fire,189
04/23/2014,Medical,451
04/23/2014,Misc Emergency,29
04/23/2014,Various Other,10
04/23/2015,Aid Other Agency,8
04/23/2015,Chemical / Electrical,7
04/23/2015,Fire,180
04/23/2015,Medical,564
04/23/2015,Misc Emergency,57
04/23/2015,Rescue,2
04/23/2015,Various Other,1
04/23/2016,Aid Other Agency,17
04/23/2016,Chemical / Electrical,10
04/23/2016,Fire,190
04/23/2016,Medical,590
04/23/2016,Misc Emergency,38
04/23/2016,Rescue,19
04/23/2016,Various Other,5
04/23/2017,Aid Other Agency,10
04/23/2017,Chemical / Electrical,13
04/23/2017,Fire,108
04/23/2017,Medical,582
04/23/2017,Misc Emergency,19
04/23/2017,Rescue,28
04/23/2017,Various Other,15
04/23/2018,Aid Other Agency,12
04/23/2018,Chemical / Electrical,40
04/23/2018,Fire,137
04/23/2018,Medical,640
04/23/2018,Misc Emergency,16
04/23/2018,Rescue,5
04/23/2018,Various Other,12
04/23/2019,Aid Other Agency,16
04/23/2019,Chemical / Electrical,14
04/23/2019,Fire,219
04/23/2019,Medical,615
04/23/2019,Misc Emergency,31
04/23/2019,Rescue,3
04/23/2019,Various Other,14
04/24/2010,Aid Other Agency,11
04/24/2010,Chemical / Electrical,11
04/24/2010,Fire,136
04/24/2010,Medical,511
04/24/2010,Misc Emergency,41
04/24/2010,Rescue,1
04/24/2010,Various Other,3
04/24/2011,Aid Other Agency,2
04/24/2011,Chemical / Electrical,5
04/24/2011,Fire,167
04/24/2011,Medical,395
04/24/2011,Misc Emergency,28
04/24/2011,Rescue,15
04/24/2011,Various Other,7
04/24/2012,Aid Other Agency,3
04/24/2012,Chemical / Electrical,16
04/24/2012,Fire,130
04/24/2012,Medical,446
04/24/2012,Misc Emergency,18
04/24/2012,Rescue,5
04/24/2012,Various Other,8
04/24/2013,Aid Other Agency,5
04/24/2013,Chemical / Electrical,6
04/24/2013,Fire,264
04/24/2013,Medical,517
04/24/2013,Misc Emergency,41
04/24/2013,Rescue,3
04/24/2013,Various Other,10
04/24/2014,Aid Other Agency,10
04/24/2014,Chemical / Electrical,4
04/24/2014,Fire,162
04/24/2014,Medical,469
04/24/2014,Misc Emergency,33
04/24/2014,Various Other,16
04/24/2015,Aid Other Agency,4
04/24/2015,Chemical / Electrical,6
04/24/2015,Fire,142
04/24/2015,Medical,548
04/24/2015,Misc Emergency,50
04/24/2015,Rescue,5
04/24/2015,Various Other,9
04/24/2016,Aid Other Agency,10
04/24/2016,Chemical / Electrical,18
04/24/2016,Fire,163
04/24/2016,Medical,537
04/24/2016,Misc Emergency,52
04/24/2016,Rescue,9
04/24/2016,Various Other,9
04/24/2017,Aid Other Agency,8
04/24/2017,Chemical / Electrical,15
04/24/2017,Fire,124
04/24/2017,Medical,537
04/24/2017,Misc Emergency,17
04/24/2017,Rescue,10
04/24/2017,Various Other,21
04/24/2018,Aid Other Agency,10
04/24/2018,Chemical / Electrical,5
04/24/2018,Fire,179
04/24/2018,Medical,557
04/24/2018,Misc Emergency,37
04/24/2018,Rescue,1
04/24/2018,Various Other,6
04/24/2019,Aid Other Agency,5
04/24/2019,Chemical / Electrical,13
04/24/2019,Fire,225
04/24/2019,Medical,612
04/24/2019,Misc Emergency,58
04/24/2019,Rescue,5
04/24/2019,Various Other,10
04/25/2010,Aid Other Agency,9
04/25/2010,Chemical / Electrical,3
04/25/2010,Fire,196
04/25/2010,Medical,511
04/25/2010,Misc Emergency,60
04/25/2010,Rescue,3
04/25/2010,Various Other,9
04/25/2011,Aid Other Agency,12
04/25/2011,Chemical / Electrical,14
04/25/2011,Fire,136
04/25/2011,Medical,533
04/25/2011,Misc Emergency,21
04/25/2011,Various Other,6
04/25/2012,Aid Other Agency,8
04/25/2012,Chemical / Electrical,7
04/25/2012,Fire,153
04/25/2012,Medical,456
04/25/2012,Misc Emergency,35
04/25/2012,Rescue,19
04/25/2012,Various Other,6
04/25/2013,Aid Other Agency,13
04/25/2013,Chemical / Electrical,8
04/25/2013,Fire,131
04/25/2013,Medical,418
04/25/2013,Misc Emergency,28
04/25/2013,Rescue,9
04/25/2013,Various Other,2
04/25/2014,Aid Other Agency,8
04/25/2014,Chemical / Electrical,5
04/25/2014,Fire,198
04/25/2014,Medical,537
04/25/2014,Misc Emergency,32
04/25/2014,Various Other,7
04/25/2015,Aid Other Agency,16
04/25/2015,Chemical / Electrical,2
04/25/2015,Fire,175
04/25/2015,Medical,500
04/25/2015,Misc Emergency,28
04/25/2015,Rescue,1
04/25/2015,Various Other,15
04/25/2016,Aid Other Agency,4
04/25/2016,Chemical / Electrical,11
04/25/2016,Fire,131
04/25/2016,Medical,491
04/25/2016,Misc Emergency,38
04/25/2016,Rescue,5
04/25/2016,Various Other,16
04/25/2017,Aid Other Agency,9
04/25/2017,Chemical / Electrical,6
04/25/2017,Fire,248
04/25/2017,Medical,547
04/25/2017,Misc Emergency,14
04/25/2017,Rescue,12
04/25/2017,Various Other,22
04/25/2018,Aid Other Agency,9
04/25/2018,Chemical / Electrical,16
04/25/2018,Fire,244
04/25/2018,Medical,572
04/25/2018,Misc Emergency,31
04/25/2018,Rescue,10
04/25/2018,Various Other,11
04/25/2019,Aid Other Agency,16
04/25/2019,Chemical / Electrical,8
04/25/2019,Fire,170
04/25/2019,Medical,574
04/25/2019,Misc Emergency,42
04/25/2019,Rescue,10
04/25/2019,Various Other,22
04/26/2010,Aid Other Agency,6
04/26/2010,Chemical / Electrical,4
04/26/2010,Fire,154
04/26/2010,Medical,453
04/26/2010,Misc Emergency,43
04/26/2010,Rescue,7
04/26/2010,Various Other,13
04/26/2011,Aid Other Agency,7
04/26/2011,Chemical / Electrical,11
04/26/2011,Fire,210
04/26/2011,Medical,478
04/26/2011,Misc Emergency,17
04/26/2011,Rescue,1
04/26/2011,Various Other,14
04/26/2012,Aid Other Agency,6
04/26/2012,Chemical / Electrical,10
04/26/2012,Fire,148
04/26/2012,Medical,428
04/26/2012,Misc Emergency,37
04/26/2012,Rescue,14
04/26/2012,Various Other,7
04/26/2013,Aid Other Agency,2
04/26/2013,Chemical / Electrical,7
04/26/2013,Fire,137
04/26/2013,Medical,401
04/26/2013,Misc Emergency,33
04/26/2013,Rescue,21
04/26/2013,Various Other,16
04/26/2014,Aid Other Agency,8
04/26/2014,Chemical / Electrical,20
04/26/2014,Fire,162
04/26/2014,Medical,499
04/26/2014,Misc Emergency,38
04/26/2014,Rescue,33
04/26/2014,Various Other,7
04/26/2015,Aid Other Agency,6
04/26/2015,Chemical / Electrical,12
04/26/2015,Fire,208
04/26/2015,Medical,576
04/26/2015,Misc Emergency,35
04/26/2015,Rescue,3
04/26/2015,Various Other,10
04/26/2016,Aid Other Agency,14
04/26/2016,Chemical / Electrical,13
04/26/2016,Fire,132
04/26/2016,Medical,579
04/26/2016,Misc Emergency,27
04/26/2016,Rescue,8
04/26/2016,Various Other,6
04/26/2017,Aid Other Agency,7
04/26/2017,Chemical / Electrical,4
04/26/2017,Fire,161
04/26/2017,Medical,540
04/26/2017,Misc Emergency,59
04/26/2017,Rescue,14
04/26/2017,Various Other,20
04/26/2018,Aid Other Agency,10
04/26/2018,Chemical / Electrical,15
04/26/2018,Fire,154
04/26/2018,Medical,564
04/26/2018,Misc Emergency,23
04/26/2018,Rescue,3
04/26/2018,Various Other,13
04/26/2019,Aid Other Agency,21
04/26/2019,Chemical / Electrical,13
04/26/2019,Fire,159
04/26/2019,Medical,593
04/26/2019,Misc Emergency,53
04/26/2019,Rescue,4
04/26/2019,Various Other,6
04/27/2010,Aid Other Agency,5
04/27/2010,Chemical / Electrical,14
04/27/2010,Fire,176
04/27/2010,Medical,373
04/27/2010,Misc Emergency,39
04/27/2010,Rescue,2
04/27/2010,Various Other,6
04/27/2011,Aid Other Agency,3
04/27/2011,Chemical / Electrical,1
04/27/2011,Fire,160
04/27/2011,Medical,451
04/27/2011,Misc Emergency,70
04/27/2011,Rescue,20
04/27/2011,Various Other,6
04/27/2012,Aid Other Agency,12
04/27/2012,Chemical / Electrical,5
04/27/2012,Fire,193
04/27/2012,Medical,604
04/27/2012,Misc Emergency,47
04/27/2012,Rescue,14
04/27/2012,Various Other,12
04/27/2013,Aid Other Agency,7
04/27/2013,Chemical / Electrical,4
04/27/2013,Fire,244
04/27/2013,Medical,493
04/27/2013,Misc Emergency,45
04/27/2013,Rescue,2
04/27/2013,Various Other,6
04/27/2014,Aid Other Agency,7
04/27/2014,Chemical / Electrical,1
04/27/2014,Fire,183
04/27/2014,Medical,447
04/27/2014,Misc Emergency,50
04/27/2014,Rescue,3
04/27/2014,Various Other,6
04/27/2015,Aid Other Agency,14
04/27/2015,Chemical / Electrical,8
04/27/2015,Fire,189
04/27/2015,Medical,591
04/27/2015,Misc Emergency,36
04/27/2015,Various Other,15
04/27/2016,Aid Other Agency,9
04/27/2016,Chemical / Electrical,4
04/27/2016,Fire,127
04/27/2016,Medical,522
04/27/2016,Misc Emergency,34
04/27/2016,Rescue,2
04/27/2016,Various Other,6
04/27/2017,Aid Other Agency,9
04/27/2017,Chemical / Electrical,13
04/27/2017,Fire,185
04/27/2017,Medical,659
04/27/2017,Misc Emergency,69
04/27/2017,Rescue,10
04/27/2017,Various Other,14
04/27/2018,Aid Other Agency,11
04/27/2018,Chemical / Electrical,11
04/27/2018,Fire,156
04/27/2018,Medical,615
04/27/2018,Misc Emergency,50
04/27/2018,Rescue,2
04/27/2018,Various Other,11
04/27/2019,Aid Other Agency,12
04/27/2019,Chemical / Electrical,10
04/27/2019,Fire,165
04/27/2019,Medical,597
04/27/2019,Misc Emergency,33
04/27/2019,Rescue,20
04/27/2019,Various Other,13
04/28/2010,Aid Other Agency,10
04/28/2010,Chemical / Electrical,9
04/28/2010,Fire,150
04/28/2010,Medical,401
04/28/2010,Misc Emergency,41
04/28/2010,Various Other,9
04/28/2011,Aid Other Agency,15
04/28/2011,Chemical / Electrical,14
04/28/2011,Fire,188
04/28/2011,Medical,435
04/28/2011,Misc Emergency,35
04/28/2011,Rescue,3
04/28/2011,Various Other,10
04/28/2012,Aid Other Agency,12
04/28/2012,Chemical / Electrical,7
04/28/2012,Fire,173
04/28/2012,Medical,499
04/28/2012,Misc Emergency,33
04/28/2012,Rescue,4
04/28/2012,Various Other,6
04/28/2013,Aid Other Agency,9
04/28/2013,Chemical / Electrical,9
04/28/2013,Fire,164
04/28/2013,Medical,539
04/28/2013,Misc Emergency,36
04/28/2013,Rescue,16
04/28/2013,Various Other,3
04/28/2014,Aid Other Agency,16
04/28/2014,Chemical / Electrical,9
04/28/2014,Fire,138
04/28/2014,Medical,539
04/28/2014,Misc Emergency,28
04/28/2014,Rescue,24
04/28/2014,Various Other,7
04/28/2015,Aid Other Agency,8
04/28/2015,Chemical / Electrical,11
04/28/2015,Fire,161
04/28/2015,Medical,568
04/28/2015,Misc Emergency,26
04/28/2015,Various Other,22
04/28/2016,Aid Other Agency,6
04/28/2016,Chemical / Electrical,11
04/28/2016,Fire,180
04/28/2016,Medical,550
04/28/2016,Misc Emergency,30
04/28/2016,Rescue,1
04/28/2016,Various Other,7
04/28/2017,Aid Other Agency,4
04/28/2017,Chemical / Electrical,22
04/28/2017,Fire,244
04/28/2017,Medical,556
04/28/2017,Misc Emergency,50
04/28/2017,Rescue,15
04/28/2017,Various Other,19
04/28/2018,Aid Other Agency,10
04/28/2018,Chemical / Electrical,17
04/28/2018,Fire,144
04/28/2018,Medical,630
04/28/2018,Misc Emergency,33
04/28/2018,Rescue,5
04/28/2018,Various Other,13
04/28/2019,Aid Other Agency,9
04/28/2019,Chemical / Electrical,2
04/28/2019,Fire,204
04/28/2019,Medical,587
04/28/2019,Misc Emergency,32
04/28/2019,Rescue,15
04/28/2019,Various Other,6
04/29/2010,Aid Other Agency,11
04/29/2010,Chemical / Electrical,7
04/29/2010,Fire,163
04/29/2010,Medical,439
04/29/2010,Misc Emergency,28
04/29/2010,Rescue,16
04/29/2010,Various Other,10
04/29/2011,Aid Other Agency,13
04/29/2011,Chemical / Electrical,27
04/29/2011,Fire,166
04/29/2011,Medical,496
04/29/2011,Misc Emergency,34
04/29/2011,Rescue,3
04/29/2011,Various Other,6
04/29/2012,Aid Other Agency,6
04/29/2012,Chemical / Electrical,3
04/29/2012,Fire,142
04/29/2012,Medical,541
04/29/2012,Misc Emergency,33
04/29/2012,Rescue,3
04/29/2012,Various Other,15
04/29/2013,Aid Other Agency,5
04/29/2013,Chemical / Electrical,15
04/29/2013,Fire,206
04/29/2013,Medical,496
04/29/2013,Misc Emergency,51
04/29/2013,Rescue,3
04/29/2013,Various Other,4
04/29/2014,Aid Other Agency,20
04/29/2014,Chemical / Electrical,7
04/29/2014,Fire,158
04/29/2014,Medical,584
04/29/2014,Misc Emergency,38
04/29/2014,Rescue,8
04/29/2014,Various Other,20
04/29/2015,Aid Other Agency,6
04/29/2015,Chemical / Electrical,16
04/29/2015,Fire,203
04/29/2015,Medical,585
04/29/2015,Misc Emergency,42
04/29/2015,Various Other,8
04/29/2016,Aid Other Agency,11
04/29/2016,Chemical / Electrical,9
04/29/2016,Fire,175
04/29/2016,Medical,514
04/29/2016,Misc Emergency,38
04/29/2016,Various Other,8
04/29/2017,Aid Other Agency,12
04/29/2017,Chemical / Electrical,13
04/29/2017,Fire,120
04/29/2017,Medical,668
04/29/2017,Misc Emergency,26
04/29/2017,Rescue,26
04/29/2017,Various Other,15
04/29/2018,Aid Other Agency,4
04/29/2018,Chemical / Electrical,12
04/29/2018,Fire,135
04/29/2018,Medical,568
04/29/2018,Misc Emergency,41
04/29/2018,Rescue,15
04/29/2018,Various Other,5
04/29/2019,Aid Other Agency,17
04/29/2019,Chemical / Electrical,8
04/29/2019,Fire,138
04/29/2019,Medical,566
04/29/2019,Misc Emergency,22
04/29/2019,Rescue,1
04/29/2019,Various Other,7
04/30/2010,Aid Other Agency,7
04/30/2010,Chemical / Electrical,8
04/30/2010,Fire,210
04/30/2010,Medical,498
04/30/2010,Misc Emergency,32
04/30/2010,Rescue,13
04/30/2010,Various Other,8
04/30/2011,Aid Other Agency,14
04/30/2011,Chemical / Electrical,7
04/30/2011,Fire,196
04/30/2011,Medical,497
04/30/2011,Misc Emergency,34
04/30/2011,Rescue,14
04/30/2011,Various Other,15
04/30/2012,Aid Other Agency,10
04/30/2012,Chemical / Electrical,2
04/30/2012,Fire,160
04/30/2012,Medical,444
04/30/2012,Misc Emergency,24
04/30/2012,Rescue,2
04/30/2012,Various Other,20
04/30/2013,Aid Other Agency,8
04/30/2013,Chemical / Electrical,12
04/30/2013,Fire,130
04/30/2013,Medical,401
04/30/2013,Misc Emergency,42
04/30/2013,Rescue,26
04/30/2013,Various Other,11
04/30/2014,Aid Other Agency,10
04/30/2014,Chemical / Electrical,14
04/30/2014,Fire,166
04/30/2014,Medical,550
04/30/2014,Misc Emergency,25
04/30/2014,Rescue,17
04/30/2014,Various Other,6
04/30/2015,Aid Other Agency,12
04/30/2015,Chemical / Electrical,3
04/30/2015,Fire,181
04/30/2015,Medical,707
04/30/2015,Misc Emergency,56
04/30/2015,Rescue,18
04/30/2015,Various Other,10
04/30/2016,Aid Other Agency,8
04/30/2016,Chemical / Electrical,6
04/30/2016,Fire,191
04/30/2016,Medical,621
04/30/2016,Misc Emergency,55
04/30/2016,Rescue,21
04/30/2016,Various Other,21
04/30/2017,Aid Other Agency,18
04/30/2017,Chemical / Electrical,7
04/30/2017,Fire,140
04/30/2017,Medical,612
04/30/2017,Misc Emergency,37
04/30/2017,Rescue,40
04/30/2017,Various Other,17
04/30/2018,Aid Other Agency,16
04/30/2018,Chemical / Electrical,7
04/30/2018,Fire,198
04/30/2018,Medical,534
04/30/2018,Misc Emergency,41
04/30/2018,Rescue,4
04/30/2018,Various Other,4
04/30/2019,Aid Other Agency,17
04/30/2019,Chemical / Electrical,5
04/30/2019,Fire,145
04/30/2019,Medical,510
04/30/2019,Misc Emergency,36
04/30/2019,Rescue,32
04/30/2019,Various Other,10
05/01/2010,Aid Other Agency,8
05/01/2010,Chemical / Electrical,1
05/01/2010,Fire,177
05/01/2010,Medical,527
05/01/2010,Misc Emergency,33
05/01/2010,Rescue,26
05/01/2010,Various Other,13
05/01/2011,Aid Other Agency,5
05/01/2011,Chemical / Electrical,3
05/01/2011,Fire,257
05/01/2011,Medical,564
05/01/2011,Misc Emergency,15
05/01/2011,Rescue,4
05/01/2011,Various Other,11
05/01/2012,Aid Other Agency,18
05/01/2012,Chemical / Electrical,10
05/01/2012,Fire,145
05/01/2012,Medical,497
05/01/2012,Misc Emergency,31
05/01/2012,Rescue,2
05/01/2012,Various Other,6
05/01/2013,Aid Other Agency,9
05/01/2013,Chemical / Electrical,12
05/01/2013,Fire,218
05/01/2013,Medical,523
05/01/2013,Misc Emergency,33
05/01/2013,Rescue,2
05/01/2013,Various Other,8
05/01/2014,Aid Other Agency,9
05/01/2014,Chemical / Electrical,10
05/01/2014,Fire,172
05/01/2014,Medical,650
05/01/2014,Misc Emergency,55
05/01/2014,Rescue,3
05/01/2014,Various Other,17
05/01/2015,Aid Other Agency,14
05/01/2015,Chemical / Electrical,6
05/01/2015,Fire,171
05/01/2015,Medical,613
05/01/2015,Misc Emergency,32
05/01/2015,Rescue,29
05/01/2015,Various Other,10
05/01/2016,Aid Other Agency,8
05/01/2016,Chemical / Electrical,12
05/01/2016,Fire,213
05/01/2016,Medical,605
05/01/2016,Misc Emergency,50
05/01/2016,Rescue,18
05/01/2016,Various Other,14
05/01/2017,Aid Other Agency,9
05/01/2017,Chemical / Electrical,11
05/01/2017,Fire,184
05/01/2017,Medical,676
05/01/2017,Misc Emergency,44
05/01/2017,Rescue,2
05/01/2017,Various Other,17
05/01/2018,Aid Other Agency,1
05/01/2018,Chemical / Electrical,16
05/01/2018,Fire,159
05/01/2018,Medical,627
05/01/2018,Misc Emergency,47
05/01/2018,Rescue,21
05/01/2018,Various Other,11
05/01/2019,Aid Other Agency,18
05/01/2019,Chemical / Electrical,10
05/01/2019,Fire,159
05/01/2019,Medical,581
05/01/2019,Misc Emergency,40
05/01/2019,Rescue,16
05/01/2019,Various Other,7
05/02/2010,Aid Other Agency,7
05/02/2010,Chemical / Electrical,6
05/02/2010,Fire,241
05/02/2010,Medical,457
05/02/2010,Misc Emergency,27
05/02/2010,Rescue,2
05/02/2010,Various Other,9
05/02/2011,Aid Other Agency,7
05/02/2011,Chemical / Electrical,17
05/02/2011,Fire,153
05/02/2011,Medical,443
05/02/2011,Misc Emergency,38
05/02/2011,Rescue,1
05/02/2011,Various Other,6
05/02/2012,Aid Other Agency,12
05/02/2012,Chemical / Electrical,9
05/02/2012,Fire,167
05/02/2012,Medical,513
05/02/2012,Misc Emergency,24
05/02/2012,Rescue,1
05/02/2012,Various Other,11
05/02/2013,Aid Other Agency,7
05/02/2013,Chemical / Electrical,13
05/02/2013,Fire,233
05/02/2013,Medical,557
05/02/2013,Misc Emergency,77
05/02/2013,Rescue,1
05/02/2013,Various Other,23
05/02/2014,Aid Other Agency,12
05/02/2014,Chemical / Electrical,5
05/02/2014,Fire,228
05/02/2014,Medical,525
05/02/2014,Misc Emergency,45
05/02/2014,Rescue,1
05/02/2014,Various Other,11
05/02/2015,Aid Other Agency,8
05/02/2015,Chemical / Electrical,10
05/02/2015,Fire,181
05/02/2015,Medical,621
05/02/2015,Misc Emergency,64
05/02/2015,Rescue,27
05/02/2015,Various Other,8
05/02/2016,Aid Other Agency,15
05/02/2016,Chemical / Electrical,5
05/02/2016,Fire,168
05/02/2016,Medical,498
05/02/2016,Misc Emergency,46
05/02/2016,Rescue,26
05/02/2016,Various Other,16
05/02/2017,Aid Other Agency,14
05/02/2017,Chemical / Electrical,8
05/02/2017,Fire,202
05/02/2017,Medical,649
05/02/2017,Misc Emergency,28
05/02/2017,Rescue,1
05/02/2017,Various Other,11
05/02/2018,Aid Other Agency,9
05/02/2018,Chemical / Electrical,12
05/02/2018,Fire,205
05/02/2018,Medical,676
05/02/2018,Misc Emergency,51
05/02/2018,Rescue,1
05/02/2018,Various Other,7
05/02/2019,Aid Other Agency,14
05/02/2019,Chemical / Electrical,5
05/02/2019,Fire,180
05/02/2019,Medical,602
05/02/2019,Misc Emergency,16
05/02/2019,Various Other,6
05/03/2010,Aid Other Agency,18
05/03/2010,Chemical / Electrical,12
05/03/2010,Fire,169
05/03/2010,Medical,477
05/03/2010,Misc Emergency,18
05/03/2010,Various Other,14
05/03/2011,Aid Other Agency,10
05/03/2011,Chemical / Electrical,8
05/03/2011,Fire,155
05/03/2011,Medical,498
05/03/2011,Misc Emergency,33
05/03/2011,Rescue,29
05/03/2011,Various Other,10
05/03/2012,Aid Other Agency,5
05/03/2012,Chemical / Electrical,6
05/03/2012,Fire,182
05/03/2012,Medical,470
05/03/2012,Misc Emergency,32
05/03/2012,Rescue,1
05/03/2012,Various Other,8
05/03/2013,Aid Other Agency,18
05/03/2013,Chemical / Electrical,7
05/03/2013,Fire,155
05/03/2013,Medical,555
05/03/2013,Misc Emergency,65
05/03/2013,Rescue,15
05/03/2013,Various Other,10
05/03/2014,Aid Other Agency,16
05/03/2014,Chemical / Electrical,3
05/03/2014,Fire,119
05/03/2014,Medical,542
05/03/2014,Misc Emergency,54
05/03/2014,Rescue,40
05/03/2014,Various Other,2
05/03/2015,Aid Other Agency,9
05/03/2015,Chemical / Electrical,6
05/03/2015,Fire,154
05/03/2015,Medical,538
05/03/2015,Misc Emergency,24
05/03/2015,Rescue,13
05/03/2015,Various Other,11
05/03/2016,Aid Other Agency,8
05/03/2016,Chemical / Electrical,9
05/03/2016,Fire,101
05/03/2016,Medical,546
05/03/2016,Misc Emergency,39
05/03/2016,Rescue,19
05/03/2016,Various Other,8
05/03/2017,Aid Other Agency,6
05/03/2017,Chemical / Electrical,14
05/03/2017,Fire,192
05/03/2017,Medical,698
05/03/2017,Misc Emergency,21
05/03/2017,Rescue,12
05/03/2017,Various Other,17
05/03/2018,Aid Other Agency,13
